t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
9792,8609,1,9578,9602,6187,9558,9033,1,2
9792,8609,1,9578,9602,6187,9558,9033,1,2
9792,8609,1,9579,9602,6187,9558,9033,1,2
9792,8609,1,9579,9602,6188,9558,9033,1,2
9792,8609,1,9579,9602,6188,9558,9033,1,2
9792,8609,1,9579,9602,6189,9558,9033,1,2
9792,8609,1,9579,9602,6189,9558,9033,1,2
9792,8609,1,9579,9602,6190,9558,9033,1,2
9792,8609,1,9579,9602,6191,9558,9033,1,2
9792,8609,1,9579,9602,6191,9558,9033,1,2
9792,8609,1,9579,9602,6191,9558,9033,1,2
9792,8609,1,9579,9602,6192,9558,9033,1,2
9792,8609,1,9579,9602,6192,9558,9033,1,2
9792,8609,1,9579,9602,6192,9558,9033,1,2
9792,8609,1,9579,9602,6192,9558,9033,1,2
9792,8609,1,9579,9602,6192,9558,9033,1,2
9792,8609,1,9579,9602,6192,9558,9033,1,2
9792,8609,1,9579,9602,6192,9558,9033,1,2
9792,8609,1,9580,9602,6193,9558,9033,1,2
9792,8609,1,9580,9602,6193,9558,9033,1,2
9792,8609,1,9580,9602,6193,9558,9033,1,2
9792,8609,1,9580,9602,6193,9558,9033,1,2
9792,8609,1,9580,9602,6193,9558,9033,1,2
9792,8609,1,9580,9602,6193,9558,9033,1,2
9792,8609,1,9580,9602,6193,9558,9033,1,2
9792,8609,1,9580,9602,6193,9558,9033,1,2
9792,8609,1,9580,9602,6193,9558,9033,1,2
9792,8609,1,9580,9602,6193,9558,9033,1,2
9792,8609,1,9581,9602,6193,9558,9033,1,2
9792,8609,1,9581,9602,6193,9558,9033,1,2
9792,8609,1,9581,9602,6193,9558,9033,1,2
9792,8609,1,9581,9602,6193,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9581,9602,6194,9558,9033,1,2
9792,8609,1,9582,9602,6194,9558,9033,1,2
9792,8609,1,9582,9602,6194,9558,9033,1,2
9792,8609,1,9582,9602,6194,9558,9033,1,2
9792,8609,1,9582,9602,6194,9558,9033,1,2
9792,8609,1,9582,9602,6194,9558,9033,1,2
9792,8609,1,9582,9602,6194,9558,9033,1,2
9792,8609,1,9582,9602,6194,9558,9033,1,2
9792,8609,1,9582,9602,6194,9558,9033,1,2
9792,8609,1,9582,9602,6194,9558,9033,1,2
9792,8609,1,9582,9602,6194,9558,9033,1,2
